ID,Race number,Race number next,season,round,raceName,date,circuitId_x,circuitName,number,position,positionText,points,driverId,givenName,familyName,dateOfBirth,nationality,constructorId,name_x,nationality.1,results.grid,results.laps,results.status,Circ Count,location,country,lat,lng
6520,2031,86,94,1960,2,Monaco Grand Prix,29-05-1960,monaco,Circuit de Monaco,28.0,1,1,8.0,moss,Stirling,Moss,17-09-2029,British,team_lotus,Team Lotus,British,1,100,Finished,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056
6606,2032,86,89,1960,2,Monaco Grand Prix,29-05-1960,monaco,Circuit de Monaco,10.0,2,2,6.0,mclaren,Bruce,McLaren,30-08-1937,New Zealander,cooper-climax,Cooper-Climax,British,11,100,Finished,,Monte-Carlo,Monaco,43.7347,7.42056
6658,2033,86,86,1960,2,Monaco Grand Prix,29-05-1960,monaco,Circuit de Monaco,36.0,3,3,4.0,phil_hill,Phil,Hill,20-04-2027,American,ferrari,Ferrari,Italian,10,100,Finished,,Monte-Carlo,Monaco,43.7347,7.42056
6703,2034,86,86,1960,2,Monaco Grand Prix,29-05-1960,monaco,Circuit de Monaco,18.0,4,4,3.0,brooks,Tony,Brooks,25-02-1932,British,cooper-climax,Cooper-Climax,British,3,99,+1 Lap,,Monte-Carlo,Monaco,43.7347,7.42056
6768,2035,86,94,1960,2,Monaco Grand Prix,29-05-1960,monaco,Circuit de Monaco,2.0,5,5,2.0,bonnier,Jo,Bonnier,31-01-1930,Swedish,brm,BRM,British,5,83,+17 Laps,,Monte-Carlo,Monaco,43.7347,7.42056
6853,2036,86,88,1960,2,Monaco Grand Prix,29-05-1960,monaco,Circuit de Monaco,34.0,6,6,1.0,ginther,Richie,Ginther,05-08-1930,American,ferrari,Ferrari,Italian,9,70,+30 Laps,,Monte-Carlo,Monaco,43.7347,7.42056
6920,2037,86,89,1960,2,Monaco Grand Prix,29-05-1960,monaco,Circuit de Monaco,6.0,7,7,0.0,hill,Graham,Hill,15-02-2029,British,brm,BRM,British,6,66,Spun off,,Monte-Carlo,Monaco,43.7347,7.42056
7021,2038,86,86,1960,2,Monaco Grand Prix,29-05-1960,monaco,Circuit de Monaco,38.0,8,8,0.0,trips,Wolfgang,von Trips,04-05-2028,German,ferrari,Ferrari,Italian,8,61,Clutch,,Monte-Carlo,Monaco,43.7347,7.42056
7055,2039,86,104,1960,2,Monaco Grand Prix,29-05-1960,monaco,Circuit de Monaco,22.0,9,9,0.0,ireland,Innes,Ireland,12-06-1930,British,team_lotus,Team Lotus,British,7,56,+44 Laps,,Monte-Carlo,Monaco,43.7347,7.42056
7119,2040,86,91,1960,2,Monaco Grand Prix,29-05-1960,monaco,Circuit de Monaco,4.0,10,R,0.0,gurney,Dan,Gurney,13-04-1931,American,brm,BRM,British,14,44,Suspension,,Monte-Carlo,Monaco,43.7347,7.42056
7164,2041,86,133,1960,2,Monaco Grand Prix,29-05-1960,monaco,Circuit de Monaco,8.0,11,D,0.0,jack_brabham,Jack,Brabham,02-04-2026,Australian,cooper-climax,Cooper-Climax,British,2,40,Disqualified,,Monte-Carlo,Monaco,43.7347,7.42056
7273,2042,86,102,1960,2,Monaco Grand Prix,29-05-1960,monaco,Circuit de Monaco,14.0,12,R,0.0,salvadori,Roy,Salvadori,12-05-2022,British,cooper-climax,Cooper-Climax,British,12,29,Overheating,,Monte-Carlo,Monaco,43.7347,7.42056
7340,2043,86,86,1960,2,Monaco Grand Prix,29-05-1960,monaco,Circuit de Monaco,24.0,13,R,0.0,stacey,Alan,Stacey,29-08-1933,British,team_lotus,Team Lotus,British,13,23,Chassis,,Monte-Carlo,Monaco,43.7347,7.42056
7357,2044,86,86,1960,2,Monaco Grand Prix,29-05-1960,monaco,Circuit de Monaco,16.0,14,R,0.0,bristow,Chris,Bristow,02-12-1937,British,cooper-climax,Cooper-Climax,British,4,17,Gearbox,,Monte-Carlo,Monaco,43.7347,7.42056
7467,2045,86,122,1960,2,Monaco Grand Prix,29-05-1960,monaco,Circuit de Monaco,26.0,15,R,0.0,surtees,John,Surtees,11-02-1934,British,team_lotus,Team Lotus,British,15,17,Transmission,,Monte-Carlo,Monaco,43.7347,7.42056
7537,2046,86,86,1960,2,Monaco Grand Prix,29-05-1960,monaco,Circuit de Monaco,44.0,16,R,0.0,trintignant,Maurice,Trintignant,30-10-2017,French,cooper-maserati,Cooper-Maserati,British,16,4,Gearbox,,Monte-Carlo,Monaco,43.7347,7.42056
7574,2047,86,86,1960,2,Monaco Grand Prix,29-05-1960,monaco,Circuit de Monaco,12.0,17,F,0.0,halford,Bruce,Halford,18-05-1931,British,cooper-climax,Cooper-Climax,British,0,0,Did not qualify,,Monte-Carlo,Monaco,43.7347,7.42056
7608,2048,86,86,1960,2,Monaco Grand Prix,29-05-1960,monaco,Circuit de Monaco,32.0,18,F,0.0,allison,Cliff,Allison,08-02-1932,British,ferrari,Ferrari,Italian,0,0,Did not qualify,,Monte-Carlo,Monaco,43.7347,7.42056
7713,2049,86,94,1960,2,Monaco Grand Prix,29-05-1960,monaco,Circuit de Monaco,20.0,19,F,0.0,naylor,Brian,Naylor,24-03-2023,British,jbw,JBW,British,0,0,Did not qualify,,Monte-Carlo,Monaco,43.7347,7.42056
7750,2050,86,101,1960,2,Monaco Grand Prix,29-05-1960,monaco,Circuit de Monaco,40.0,20,F,0.0,gregory,Masten,Gregory,29-02-1932,American,cooper-maserati,Cooper-Maserati,British,0,0,Did not qualify,,Monte-Carlo,Monaco,43.7347,7.42056
7792,2051,86,88,1960,2,Monaco Grand Prix,29-05-1960,monaco,Circuit de Monaco,46.0,21,F,0.0,daigh,Chuck,Daigh,29-11-2023,American,scarab,Scarab,American,0,0,Did not qualify,,Monte-Carlo,Monaco,43.7347,7.42056
7880,2052,86,86,1960,2,Monaco Grand Prix,29-05-1960,monaco,Circuit de Monaco,30.0,22,F,0.0,scarlatti,Giorgio,Scarlatti,02-10-2021,Italian,cooper-castellotti,Cooper-Castellotti,British,0,0,Did not qualify,,Monte-Carlo,Monaco,43.7347,7.42056
7911,2053,86,86,1960,2,Monaco Grand Prix,29-05-1960,monaco,Circuit de Monaco,48.0,23,F,0.0,reventlow,Lance,Reventlow,24-02-1936,American,scarab,Scarab,American,0,0,Did not qualify,,Monte-Carlo,Monaco,43.7347,7.42056
7924,2054,86,97,1960,2,Monaco Grand Prix,29-05-1960,monaco,Circuit de Monaco,42.0,24,F,0.0,burgess,Ian,Burgess,06-07-1930,British,cooper-maserati,Cooper-Maserati,British,0,0,Did not qualify,,Monte-Carlo,Monaco,43.7347,7.42056
8066,2151,91,92,1960,7,British Grand Prix,16-07-1960,silverstone,Silverstone Circuit,1.0,1,1,8.0,jack_brabham,Jack,Brabham,02-04-2026,Australian,cooper-climax,Cooper-Climax,British,1,77,Finished,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694
8159,2152,91,107,1960,7,British Grand Prix,16-07-1960,silverstone,Silverstone Circuit,9.0,2,2,6.0,surtees,John,Surtees,11-02-1934,British,team_lotus,Team Lotus,British,11,77,Finished,,Silverstone,UK,52.0786,-1.01694
8183,2153,91,91,1960,7,British Grand Prix,16-07-1960,silverstone,Silverstone Circuit,7.0,3,3,4.0,ireland,Innes,Ireland,12-06-1930,British,team_lotus,Team Lotus,British,5,77,Finished,,Silverstone,UK,52.0786,-1.01694
