Id,season,round,raceName,date,circuitId_x,circuitName,number,position,positionText,points,driverRef,givenName,familyName,dateOfBirth,nationality,constructorRef,name_x,nationality.1,results.grid,results.laps,results.status,location,country,lat,lng,wins
2961,1963,1,Monaco Grand Prix,26-05-1963,monaco,Circuit de Monaco,21.0,4.0,4,3.0,surtees,John,Surtees,11-02-1934,British,ferrari,Ferrari,Italian,3,100,Finished,Monte-Carlo,Monaco,43.7347,7.42056,0
5371,1963,1,Monaco Grand Prix,26-05-1963,monaco,Circuit de Monaco,6.0,1.0,1,9.0,hill,Graham,Hill,15-02-1929,British,brm,BRM,British,2,100,Finished,Monte-Carlo,Monaco,43.7347,7.42056,1
5372,1963,1,Monaco Grand Prix,26-05-1963,monaco,Circuit de Monaco,5.0,2.0,2,6.0,ginther,Richie,Ginther,05-08-1930,American,brm,BRM,British,4,100,Finished,Monte-Carlo,Monaco,43.7347,7.42056,1
5673,1963,1,Monaco Grand Prix,26-05-1963,monaco,Circuit de Monaco,7.0,3.0,3,4.0,mclaren,Bruce,McLaren,30-08-1937,New Zealander,cooper-climax,Cooper-Climax,British,8,100,Finished,Monte-Carlo,Monaco,43.7347,7.42056,0
5874,1963,1,Monaco Grand Prix,26-05-1963,monaco,Circuit de Monaco,20.0,,R,0.0,mairesse,Willy,Mairesse,01-10-1928,Belgian,ferrari,Ferrari,Italian,7,37,Gearbox,Monte-Carlo,Monaco,43.7347,7.42056,0
6395,1963,1,Monaco Grand Prix,26-05-1963,monaco,Circuit de Monaco,12.0,,R,0.0,hall,Jim,Hall,23-07-1935,American,lotus-brm,Lotus-BRM,British,13,20,Gearbox,Monte-Carlo,Monaco,43.7347,7.42056,0
6407,1963,1,Monaco Grand Prix,26-05-1963,monaco,Circuit de Monaco,3.0,9.0,9,0.0,jack_brabham,Jack,Brabham,02-04-1926,Australian,lotus-climax,Lotus-Climax,British,16,77,Gearbox,Monte-Carlo,Monaco,43.7347,7.42056,0
6408,1963,1,Monaco Grand Prix,26-05-1963,monaco,Circuit de Monaco,9.0,8.0,8,0.0,clark,Jim,Clark,04-03-1936,British,lotus-climax,Lotus-Climax,British,1,78,Gearbox,Monte-Carlo,Monaco,43.7347,7.42056,0
12846,1963,1,Monaco Grand Prix,26-05-1963,monaco,Circuit de Monaco,25.0,,R,0.0,siffert,Jo,Siffert,07-07-1936,Swiss,lotus-brm,Lotus-BRM,British,12,3,Engine,Monte-Carlo,Monaco,43.7347,7.42056,0
14328,1963,1,Monaco Grand Prix,26-05-1963,monaco,Circuit de Monaco,10.0,6.0,6,1.0,trevor_taylor,Trevor,Taylor,26-12-1936,British,lotus-climax,Lotus-Climax,British,9,98,+2 Laps,Monte-Carlo,Monaco,43.7347,7.42056,0
14373,1963,1,Monaco Grand Prix,26-05-1963,monaco,Circuit de Monaco,8.0,5.0,5,2.0,maggs,Tony,Maggs,09-02-1937,South African,cooper-climax,Cooper-Climax,British,10,98,+2 Laps,Monte-Carlo,Monaco,43.7347,7.42056,0
15877,1963,1,Monaco Grand Prix,26-05-1963,monaco,Circuit de Monaco,14.0,,R,0.0,ireland,Innes,Ireland,12-06-1930,British,lotus-brm,Lotus-BRM,British,5,40,Accident,Monte-Carlo,Monaco,43.7347,7.42056,0
